শাংথনা	ꯁꯥꯡꯊꯅꯥ
তাঙ্খা	ꯇꯥꯡꯈꯥ
নন্দকিশ্বরনা	ꯅꯟꯗꯀꯤꯁ꯭ꯋꯔꯅꯥ
অতোম্বীবু	ꯑꯇꯣꯝꯕꯤꯕꯨ
দবলস	ꯗꯕꯜꯁ
ওইরিব	ꯑꯣꯢꯔꯤꯕ
ৱেবসু	ꯋꯦꯕꯁꯨ
ইন্তরনেসনেল	ꯏꯟꯇꯔꯅꯦꯁꯅꯦꯜ
মহুৱা	ꯃꯍꯨꯋꯥ
থুমজাবু	ꯊꯨꯝꯖꯥꯕꯨ
শেমজিন্নচিংবা	ꯁꯦꯝꯖꯤꯟꯅꯆꯤꯡꯕꯥ
মীহুৎ	ꯃꯤꯍꯨꯠ
নপসাগী	ꯅꯞꯁꯥꯒꯤ
গোল্ফ	ꯒꯣꯜ꯭ꯐ
কনেতেনমেন্ট	ꯀꯅꯦꯇꯦꯟꯃꯦꯟ꯭ꯇ
অকঙ্বা	ꯑꯀꯪꯕꯥ
ভেলিদিতি	ꯚꯦꯂꯤꯗꯤꯇꯤ
চেলিবসিনা	ꯆꯦꯂꯤꯕꯁꯤꯅꯥ
আইটরিচ	ꯑꯥꯢꯠꯔꯤꯆ
মিতারেসে	ꯃꯤꯇꯥꯔꯦꯁꯦ
একাদমী	ꯑꯦꯀꯥꯗꯃꯤ
বিকানের	ꯕꯤꯀꯥꯅꯦꯔ
সিঙ্গলসকী	ꯁꯤꯡꯒꯜꯁꯀꯤ
বেঙ্গলদনা	ꯕꯦꯡꯒꯜꯗꯅꯥ
বেল্লোটতা	ꯕꯦꯜꯂꯣꯠꯇꯥ
অবোনপুঞ্চিগী	ꯑꯕꯣꯟꯄꯨꯟꯆꯤꯒꯤ
অস্বিনি	ꯑꯁ꯭ꯋꯤꯅꯤ
দিসক্লোজর	ꯗꯤꯁꯀ꯭ꯂꯣꯖꯔ
দরসন	ꯗꯔꯁꯟ
য়ুম্দোন্পোক	ꯌꯨꯝꯗꯣꯟꯄꯣꯛ
ঙম্লক্কদৌরে	ꯉꯝꯂꯛꯀꯗꯧꯔꯦ
প্লেগ	ꯄ꯭ꯂꯦꯒ
চিবা	ꯆꯤꯕꯥ
ইম্ফালগীদমক	ꯏꯝꯐꯥꯜꯒꯤꯗꯃꯛ
কারকলবদি	ꯀꯥꯔꯛꯂꯕꯗꯤ
ভেলিদেসন	ꯚꯦꯂꯤꯗꯦꯁꯟ
ফাওনগদগে	ꯐꯥꯎꯅꯒꯗꯒꯦ
লৈরিক	ꯂꯩꯔꯤꯛ
জগোয়্দা	ꯖꯒꯣꯢꯗꯥ
শীংজন্	ꯁꯤꯡꯖꯟ
মতেংশিং	ꯃꯇꯦꯡꯁꯤꯡ
সংঘগী	ꯁꯪꯘꯒꯤ
গেস	ꯒꯦꯁ
চান্সেলর	ꯆꯥꯟꯁꯦꯂꯔ
কন্যাকুমারি	ꯀꯅ꯭ꯌꯥꯀꯨꯃꯥꯔꯤ
তৌশিল্লবা	ꯇꯧꯁꯤꯜꯂꯕꯥ
রিতর্নিং	ꯔꯤꯇꯔꯅꯤꯡ
সবদরজং	ꯁꯕꯗꯔꯖꯪ
বামোন	ꯕꯥꯃꯣꯟ
পোত্নচিংবা	ꯄꯣꯠꯅꯆꯤꯡꯕꯥ
কোনশিন্নবগীদমক	ꯀꯣꯟꯁꯤꯟꯅꯕꯒꯤꯗꯃꯛ
লৌগনি	ꯂꯧꯒꯅꯤ
কয়ানিমরুম	ꯀꯌꯥꯅꯤꯃꯔꯨꯝ
কয়াসু	ꯀꯌꯥꯁꯨ
চেংদি	ꯆꯦꯡꯗꯤ
ইন্সটিট্যুসনশিংদগী	ꯏꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯁꯟꯁꯤꯡꯗꯒꯤ
ওথোরিতিশিংদাা	ꯑꯣꯊꯣꯔꯤꯇꯤꯁꯤꯡꯗꯥ
দিসজাষ্টর	ꯗꯤꯁꯖꯥꯁꯇꯔ
সেক্তরনসু	ꯁꯦꯛꯇꯔꯅꯁꯨ
কান্নগদবা	ꯀꯥꯟꯅꯒꯗꯕꯥ
শৈজাং	ꯁꯩꯖꯥꯡ
বেহারদা	ꯕꯦꯍꯥꯔꯗꯥ
পামেনা	ꯄꯥꯃꯦꯅꯥ
হাৎলগা	ꯍꯥꯠꯂꯒꯥ
হকচাংদি	ꯍꯛꯆꯥꯡꯗꯤ
মাইরেনবম	ꯃꯥꯢꯔꯦꯟꯕꯝ
তান্থোরক্পগী	ꯇꯥꯟꯊꯣꯔꯛꯄꯒꯤ
হুল্লবা	ꯍꯨꯜꯂꯕꯥ
লায়েংলগনি	ꯂꯥꯌꯦꯡꯂꯒꯅꯤ
আলাগী	ꯑꯥꯂꯥꯒꯤ
ভারতি	ꯚꯥꯔꯇꯤ
যাত্রাগী	ꯌꯥꯇ꯭ꯔꯥꯒꯤ
থুদেক্লে	ꯊꯨꯗꯦꯛꯂꯦ
ঙাকশেনদুনা	ꯉꯥꯛꯁꯦꯟꯗꯨꯅꯥ
চামিন্নবোইরে	ꯆꯥꯃꯤꯟꯅꯕꯣꯢꯔꯦ
চংবসু	ꯆꯪꯕꯁꯨ
রাধেশ্যামসু	ꯔꯥꯙꯦꯁ꯭ꯌꯥꯝꯁꯨ
লোমেকরশিংদা	ꯂꯣꯃꯦꯀꯔꯁꯤꯡꯗꯥ
অমগুম্বনি	ꯑꯝꯒꯨꯝꯕꯅꯤ
চেঞ্জগা	ꯆꯦꯟ꯭ꯖꯒꯥ
শীংউবগী	ꯁꯤꯡꯎꯕꯒꯤ
থাঙপাৎ	ꯊꯥꯉꯄꯥꯠ
এগজিক্যুতিব	ꯑꯦꯒꯖꯤꯀ꯭ꯌꯨꯇꯤꯕ
ওটোনোমস	ꯑꯣꯇꯣꯅꯣꯃꯁ
চংশিল্লিকখিবনি	ꯆꯪꯁꯤꯜꯂꯤꯛꯈꯤꯕꯅꯤ
ফংলম্মী	ꯐꯪꯂꯝꯃꯤ
কমিসনগী	ꯀꯃꯤꯁꯟꯒꯤ
বৌদ্ধ	ꯕꯧꯗꯙ
পায়রিবা	ꯄꯥꯢꯔꯤꯕꯥ
ওইথংবা	ꯑꯣꯢꯊꯪꯕꯥ
খাইবোক্তানা	ꯈꯥꯢꯕꯣꯛꯇꯥꯅꯥ
লাইরেন্দু	ꯂꯥꯢꯔꯦꯟꯗꯨ
পীরবনিকো	ꯄꯤꯔꯕꯅꯤꯀꯣ
ৱারি	ꯋꯥꯔꯤ
মোনদা	ꯃꯣꯟꯗꯥ
মেনটেনেন্স	ꯃꯦꯟꯇꯦꯅꯦꯟ꯭ꯁ
পাইরিবদু	ꯄꯥꯢꯔꯤꯕꯗꯨ
মাঙখ্রে	ꯃꯥꯡꯈ꯭ꯔꯦ
থোকহল্লবা	ꯊꯣꯛꯍꯜꯂꯕꯥ
মরিরোম	ꯃꯔꯤꯔꯣꯝ
অমরুট	ꯑꯝꯔꯨꯠ
পাম্বীবশিংনা	ꯄꯥꯝꯕꯤꯕꯁꯤꯡꯅꯥ
কবুল	ꯀꯕꯨꯜ
লাইমা	ꯂꯥꯢꯃꯥ
ললোন্বা	ꯂꯂꯣꯟꯕꯥ
পৱারনা	ꯄꯋꯥꯔꯅꯥ
আগ্রাগামি	ꯑꯥꯒ꯭ꯔꯥꯒꯥꯃꯤ
পুরনেশ্বরি	ꯄꯨꯔꯅꯦꯁ꯭ꯋꯔꯤ
এজেন্সিশিংনা	ꯑꯦꯖꯦꯟꯁꯤꯁꯤꯡꯅꯥ
শ্রীমতি	ꯁ꯭ꯔꯤꯃꯇꯤ
কোবিরৈ	ꯀꯣꯕꯤꯔꯩ
তেস্ত	ꯇꯦꯁ꯭ꯇ
খুদোংচাহল্লগনি	ꯈꯨꯗꯣꯡꯆꯥꯍꯜꯂꯒꯅꯤ
গনত্রন্ত	ꯒꯅꯇ꯭ꯔꯟꯇ
লৈবাক্সিগী	ꯂꯩꯕꯥꯛꯁꯤꯒꯤ
ৱাংময়ুমনা	ꯋꯥꯡꯃꯌꯨꯝꯅꯥ
মতুংদ	ꯃꯇꯨꯡꯗ
মঙালগী	ꯃꯉꯥꯜꯒꯤ
চহীদি	ꯆꯍꯤꯗꯤ
বাবুসকীনা	ꯕꯥꯕꯨꯁꯀꯤꯅꯥ
চামারোম	ꯆꯥꯃꯥꯔꯣꯝ
মোসাহরিনা	ꯃꯣꯁꯥꯍꯔꯤꯅꯥ
য়েংশিলহনবগী	ꯌꯦꯡꯁꯤꯜꯍꯟꯕꯒꯤ
সোরারেন	ꯁꯣꯔꯥꯔꯦꯟ
লাইকন্ননবা	ꯂꯥꯢꯀꯟꯅꯅꯕꯥ
মীতমদা	ꯃꯤꯇꯝꯗꯥ
দিদ	ꯗꯤꯗ
ঘনেন্দ্রজিৎ	ꯘꯅꯦꯟꯗ꯭ꯔꯖꯤꯠ
তাঙইফদে	ꯇꯉꯏꯐꯗꯦ
খোঙ্গুল্লীরক্পদা	ꯈꯣꯡꯒꯨꯜꯂꯤꯔꯛꯄꯗꯥ
চাত্পোইরে	ꯆꯥꯠꯄꯣꯢꯔꯦ
ওদিৎ	ꯑꯣꯗꯤꯠ
ঙম্লক্তবসু	ꯉꯝꯂꯛꯇꯕꯁꯨ
শুবা	ꯁꯨꯕꯥ
অমখক	ꯑꯝꯈꯛ
তনি	ꯇꯅꯤ
ক্বেম্বেতোরদা	ꯀ꯭ꯋꯦꯃꯕꯦꯇꯣꯔꯗꯥ
ইবােমচানা	ꯏꯕꯣꯝꯆꯥꯅꯥ
থাং	ꯊꯥꯡ
ইনাওশিংগী	ꯏꯅꯥꯎꯁꯤꯡꯒꯤ
মনিপুরগুম্বা	ꯃꯅꯤꯄꯨꯔꯒꯨꯝꯕꯥ
ফংলক্কনি	ꯐꯪꯂꯛꯀꯅꯤ
পীথবগী	ꯄꯤꯊꯕꯒꯤ
কৌজবা	ꯀꯧꯖꯕꯥ
সবজেক্টশিংগী	ꯁꯕꯖꯦꯛ꯭ꯇꯁꯤꯡꯒꯤ
পুম্ঙক্	ꯄꯨꯝꯉꯛ
শুরদুনা	ꯁꯨꯔꯗꯨꯅꯥ
মন্থতা	ꯃꯟ꯭ꯊꯇꯥ
খুৎশেমগী	ꯈꯨꯠꯁꯦꯝꯒꯤ
খাদা	ꯈꯥꯗꯥ
আফ্রিকাগা	ꯑꯥꯐ꯭ꯔꯤꯀꯥꯒꯥ
পম্পশিংদা	ꯄꯝ꯭ꯄꯁꯤꯡꯗꯥ
লেনতর্নশিং	ꯂꯦꯟꯇꯔ꯭ꯅꯁꯤꯡ
চিংথোরক্লে	ꯆꯤꯡꯊꯣꯔꯛꯂꯦ
ইকোন্	ꯏꯀꯣꯟ
অকক্নবা	ꯑꯀꯛꯅꯕꯥ
মাইনোরিতিশিংগী	ꯃꯥꯢꯅꯣꯔꯤꯇꯤꯁꯤꯡꯒꯤ
শিংলুপ	ꯁꯤꯡꯂꯨꯞ
গনেসনগা	ꯒꯅꯦꯁꯟꯒꯥ
মরাদোনাগী	ꯃꯔꯥꯗꯣꯅꯥꯒꯤ
রিট	ꯔꯤꯠ
লেপ্থোক্নরে	ꯂꯦꯞꯊꯣꯛꯅꯔꯦ
এক্তরগী	ꯑꯦꯛꯇꯔꯒꯤ
ফিদমন্নিংঙাই	ꯐꯤꯗꯃꯟꯅꯤꯡꯉꯥꯢ
মার্টিয়র্স	ꯃꯥꯔꯇꯤꯌꯔ꯭ꯁ
কোয়্নবা	ꯀꯣꯢꯅꯕꯥ
দ্রগী	ꯗ꯭ꯔꯒꯤ
তোইজম	ꯇꯣꯢꯖꯝ
হৌগত্লক্তুনা	ꯍꯧꯒꯠꯂꯛꯇꯨꯅꯥ
লাপ্তক্না	ꯂꯥꯞꯇꯛꯅꯥ
আনিল	ꯑꯥꯅꯤꯜ
উমঙ্লোম্দা	ꯎꯝꯡꯂꯣꯝꯗꯥ
কুনমঙ্ঙা	ꯀꯨꯅꯃꯪꯉꯥ
হাত্পিগনু	ꯍꯥꯠꯄꯤꯒꯅꯨ
শোক	ꯁꯣꯛ
শন্দোক্পা	ꯁꯟꯗꯣꯛꯄꯥ
পূগনি	ꯄꯨꯒꯅꯤ
লূরবা	ꯂꯨꯔꯕꯥ
লাইহিরি	ꯂꯥꯢꯍꯤꯔꯤ
দেহরাদুনগী	ꯗꯦꯍꯔꯥꯗꯨꯟꯒꯤ
কোঞ্জেম্বম	ꯀꯣꯟꯖꯦꯝꯕꯝ
গাইদিনলিউ	ꯒꯥꯢꯗꯤꯟꯂꯤꯎ
খুরম্বা	ꯈꯨꯔꯝꯕꯥ
জিরোন	ꯖꯤꯔꯣꯟ
কৌসমবি	ꯀꯧꯁꯝꯕꯤ
শন্দোক্কদবগী	ꯁꯟꯗꯣꯛꯀꯗꯕꯒꯤ
রেলৱেজশিংগী	ꯔꯦꯜꯋꯦꯖꯁꯤꯡꯒꯤ
কাংঘদা	ꯀꯥꯡꯘꯗꯥ
নাৎকা	ꯅꯥꯠꯀꯥ
মীতিনশিংদা	ꯃꯤꯇꯤꯟꯁꯤꯡꯗꯥ
প্রসাদ	ꯄ꯭ꯔꯁꯥꯗ
মমাক্শিংদুদি	ꯃꯃꯥꯛꯁꯤꯡꯗꯨꯗꯤ
রিভোলুসনরি	ꯔꯤꯚꯣꯂꯨꯁꯟꯔꯤ
দুনা	ꯗꯨꯅꯥ
নিংথৌজম	ꯅꯤꯡꯊꯧꯖꯝ
ঙায়নরিবা	ꯉꯥꯢꯅꯔꯤꯕꯥ
অদোমগী	ꯑꯗꯣꯝꯒꯤ
লায়েংলিবা	ꯂꯥꯌꯦꯡꯂꯤꯕꯥ
ফরে	ꯐꯔꯦ
কাগে	ꯀꯥꯒꯦ
ফাউন্দেসনদা	ꯐꯥꯎꯟꯗꯦꯁꯟꯗꯥ
মতীক্থোক্পা	ꯃꯇꯤꯛꯊꯣꯛꯄꯥ
অপঙ্দি	ꯑꯄꯪꯗꯤ
সার্ভিসমেন	ꯁꯥꯔꯚꯤꯁꯃꯦꯟ
রেঞ্জকী	ꯔꯦꯟ꯭ꯖꯀꯤ
জয়	ꯖꯌ
কিরেন	ꯀꯤꯔꯦꯟ
ষ্টেন্দরস	ꯁ꯭ꯇꯦꯟꯗꯔꯁ
সিফাইদা	ꯁꯤꯐꯥꯢꯗꯥ
মক্তা	ꯃꯛꯇꯥ
জৱানশিং	ꯖꯋꯥꯟꯁꯤꯡ
য়ৈথোক্লবা	ꯌꯩꯊꯣꯛꯂꯕꯥ
ৱার্করশিংদসু	ꯋꯥꯔꯀꯔꯁꯤꯡꯗꯁꯨ
চাউথোকহনবা	ꯆꯥꯎꯊꯣꯛꯍꯟꯕꯥ
স্পেনবু	ꯁ꯭ꯄꯦꯟꯕꯨ
কাপ্তবা	ꯀꯥꯞꯇꯕꯥ
শোরারেন্গী	ꯁꯣꯔꯥꯔꯦꯟꯒꯤ
অখিলেস	ꯑꯈꯤꯂꯦꯁ
পাংথোকফম	ꯄꯥꯡꯊꯣꯛꯐꯝ
মারসেল	ꯃꯥꯔꯁꯦꯜ
অধ্যক্ষগী	ꯑꯙ꯭ꯌꯛꯁꯒꯤ
হেনগৎহনদুনা	ꯍꯦꯟꯒꯠꯍꯟꯗꯨꯅꯥ
য়াওদ্রিঙৈদা	ꯌꯥꯎꯗ꯭ꯔꯤꯉꯩꯗꯥ
মিজোরামরোমদা	ꯃꯤꯖꯣꯔꯥꯝꯔꯣꯝꯗꯥ
পাঙথোক্নবগী	ꯄꯥꯡꯊꯣꯛꯅꯕꯒꯤ
হায়্বা	ꯍꯥꯢꯕꯥ
কুমাউন্দগী	ꯀꯨꯃꯥꯎꯟ꯭ꯗꯒꯤ
চৎহনদুনা	ꯆꯠꯍꯟꯗꯨꯅꯥ
পামে	ꯄꯥꯃꯦ
প্রস্তাবশিং	ꯄ꯭ꯔꯁ꯭ꯇꯥꯕꯁꯤꯡ
নিবীরুগে	ꯅꯤꯕꯤꯔꯨꯒꯦ
কন্টিনু্যজ	ꯀꯟꯇꯤꯅꯨꯢꯖ
শুংশোই	ꯁꯨꯡꯁꯣꯢ
সৌকৎ	ꯁꯧꯀꯠ
দিবলপমেন্ট	ꯗꯤꯕꯂꯞꯃꯦꯟ꯭ꯇ
সেঙ্গোইসনা	ꯁꯦꯡꯒꯣꯢꯁꯅꯥ
গনতন্ত্রনা	ꯒꯅꯇꯟꯇ꯭ꯔꯅꯥ
থাজ্মান্বনা	ꯊꯥꯖꯃꯥꯟꯕꯅꯥ
রাজপুট	ꯔꯥꯖꯄꯨꯠ
পুরকপদগী	ꯄꯨꯔꯛꯄꯗꯒꯤ
ওলিম্পিয়ন	ꯑꯣꯂꯤꯝꯄꯤꯌꯟ
লফোই	ꯂꯐꯣꯢ
চাওশিনহন্নবগীদমক	ꯆꯥꯎꯁꯤꯟꯍꯟꯅꯕꯒꯤꯗꯃꯛ
ফৈ	ꯐꯩ
নংহৌদদুনা	ꯅꯪꯍꯧꯗꯗꯨꯅꯥ
অনাবীনা	ꯑꯅꯥꯕꯤꯅꯥ
খােঙজংশিং	ꯈꯣꯉꯖꯪꯁꯤꯡ
পরিখিৎ	ꯄꯔꯤꯈꯤꯠ
ফাইতরশিং	ꯐꯥꯢꯇꯔꯁꯤꯡ
অফসার	ꯑꯐꯁꯥꯔ
বোল্লিৱুদ	ꯕꯣꯜꯂꯤꯋꯨꯗ
সিক্যুয়েন্সিং	ꯁꯤꯀ꯭ꯌꯨꯌꯦꯟꯁꯤꯡ
শান্নরকখি	ꯁꯥꯟꯅꯔꯛꯈꯤ
তেংবাংগীদমক	ꯇꯦꯡꯕꯥꯡꯒꯤꯗꯃꯛ
থৌদোক্	ꯊꯧꯗꯣꯛ
শান্নপোৎ	ꯁꯥꯟꯅꯄꯣꯠ
খুন্তাক্লবা	ꯈꯨꯟꯇꯥꯛꯂꯕꯥ
এসোসিয়েটস	ꯑꯦꯁꯣꯁꯤꯌꯦꯠꯁ
রোহিনিদা	ꯔꯣꯍꯤꯅꯤꯗꯥ
খাইদোক্নবা	ꯈꯥꯢꯗꯣꯛꯅꯕꯥ
পেনদবগী	ꯄꯦꯟꯗꯕꯒꯤ
চঙবা	ꯆꯪꯕꯥ
করফি	ꯀꯔꯐꯤ
মিনিষ্টগী	ꯃꯤꯅꯤꯁ꯭ꯇꯒꯤ
এদমিনিষ্ট্রেসনগী	ꯑꯦꯗꯃꯤꯅꯤꯁꯇ꯭ꯔꯦꯁꯟꯒꯤ
মুবা	ꯃꯨꯕꯥ
অহল্গা	ꯑꯍꯜꯒꯥ
লৈমা	ꯂꯩꯃꯥ
কান্নবনচিংবা	ꯀꯥꯟꯅꯕꯅꯆꯤꯡꯕꯥ
লৌনরে	ꯂꯧꯅꯔꯦ
গার্ল	ꯒꯥꯔ꯭ꯂ
তৌরক্ইসিদি	ꯇꯧꯔꯛꯏꯁꯤꯗꯤ
ইসলা	ꯏꯁꯂꯥ
কমপ্লেইন	ꯀꯝꯄ꯭ꯂꯦꯏꯟ
নগা	ꯅꯒꯥ
সবজেক্ত	ꯁꯕꯖꯦꯛꯇ
সম্পুরনা	ꯁꯝꯄꯨꯔꯅꯥ
তেলিপতিদা	ꯇꯦꯂꯤꯄꯇꯤꯗꯥ
মপাংশিংগী	ꯃꯄꯥꯡꯁꯤꯡꯒꯤ
শম্নরোইদবনি	ꯁꯝꯅꯔꯣꯢꯗꯕꯅꯤ
পিশিনখিবা	ꯄꯤꯁꯤꯟꯈꯤꯕꯥ
শোক্তুনা	ꯁꯣꯛꯇꯨꯅꯥ
অরোইবা	ꯑꯔꯣꯢꯕꯥ
ভক্তা	ꯚꯛꯇꯥ
বৃটিশপু	ꯕ꯭ꯔꯤꯇꯤꯁꯄꯨ
ষ্ট্রিম	ꯁ꯭ꯇ꯭ꯔꯤꯝ
দিস্তেনশিংনচিংবা	ꯗꯤꯁꯇꯦꯟꯁꯤꯡꯅꯆꯤꯡꯕꯥ
পৈফম	ꯄꯩꯐꯝ
নেরোকা	ꯅꯦꯔꯣꯀꯥ
হিন্দুশিংনা	ꯍꯤꯟꯗꯨꯁꯤꯡꯅꯥ
দেরিইং	ꯗꯦꯔꯤꯏꯪ
নাৎনা	ꯅꯥꯠꯅꯥ
কিয়োংগী	ꯀꯤꯌꯣꯡꯒꯤ
পীবদবু	ꯄꯤꯕꯗꯕꯨ
ভাবনদা	ꯚꯥꯕꯟꯗꯥ
ঙরাংগীসি	ꯉꯔꯥꯡꯒꯤꯁꯤ
ফম্নখিদে	ꯐꯝꯅꯈꯤꯗꯦ
ফোংদোকলবা	ꯐꯣꯡꯗꯣꯛꯃꯕꯥ
সমার্ট	ꯁꯃꯥꯔ꯭ꯇ
চাউথোক্লগনি	ꯆꯥꯎꯊꯣꯀꯂꯒꯅꯤ
চংশিনমীন্নরসি	ꯆꯪꯁꯤꯟꯃꯤꯟꯅꯔꯁꯤ
সেসিটাইজেসন	ꯁꯦꯁꯤꯇꯥꯢꯖꯦꯁꯟ
দুৱার	ꯗꯨꯋꯥꯔ
হান্নাা	ꯍꯥꯟꯅꯅꯥ
খুৎলাইশিং	ꯈꯨꯠꯂꯥꯢꯁꯤꯡ
শ্রীগুফৱারা	ꯁ꯭ꯔꯤꯒꯨꯐꯋꯥꯔꯥ
পারস	ꯄꯥꯔꯁ
কূপ্নোম	ꯀꯨꯞꯅꯣꯝ
লাইন্স	ꯂꯥꯢꯟ꯭ꯁ
গেলেন্টরিনা	ꯒꯦꯂꯦꯟꯇꯔꯤꯅꯥ
শিজিল্লবোইরে	ꯁꯤꯖꯤꯜꯂꯕꯣꯢꯔꯦ
সঞ্জিৎকুমারনা	ꯁꯟꯖꯤꯠꯀꯨꯃꯥꯔꯅꯥ
ইঞ্জেক্সন	ꯏꯟꯖꯦꯛꯁꯟ
বেঙ্গোলদসু	ꯕꯦꯡꯒꯣꯜꯗꯁꯨ
হেকাজো	ꯍꯦꯀꯥꯖꯣ
ৱানরবোইরে	ꯋꯥꯅꯔꯕꯣꯢꯔꯦ
তমনিংনবগী	ꯇꯝꯅꯤꯡꯅꯕꯒꯤ
সড়ক্কী	ꯁꯔꯛꯀꯤ
গোয়লগী	ꯒꯣꯌꯜꯒꯤ
হন্দক্তদি	ꯍꯟꯗꯛꯇꯗꯤ
নম্নরবা	ꯅꯝꯅꯔꯕꯥ
চোইরে	ꯆꯣꯢꯔꯦ
চৌহান্না	ꯆꯧꯍꯥꯟꯅꯥ
থঙ্গাবেলুদি	ꯊꯪꯒꯥꯕꯦꯂꯨꯗꯤ
রুপিনা	ꯔꯨꯄꯤꯅꯥ
মসিবু	ꯃꯁꯤꯕꯨ
য়াওবদা	ꯌꯥꯎꯕꯗꯥ
য়াখিবা	ꯌꯥꯈꯤꯕꯥ
সহরগী	ꯁꯍꯔꯒꯤ
উপেন্দ্রনা	ꯎꯄꯦꯟꯗ꯭ꯔꯅꯥ
গভর্নমেন্ট	ꯒꯚꯔꯅꯃꯦꯟ꯭ꯇ
অখাক	ꯑꯈꯥꯛ
শ্রীসাহ	ꯁ꯭ꯔꯤꯁꯥꯍ
কেপিতোল	ꯀꯦꯄꯤꯇꯣꯜ
কোমথোকখ্রে	ꯀꯣꯝꯊꯣꯛꯈ꯭ꯔꯦ
মায়কৈদদি	ꯃꯥꯢꯀꯩꯗꯗꯤ
লেংমান্নবা	ꯂꯦꯡꯃꯥꯟꯅꯕꯥ
লুৱাংশংবম	ꯂꯨꯋꯥꯡꯁꯪꯕꯝ
ফিজিসিয়ানশিংনা	ꯐꯤꯖꯤꯁꯤꯌꯥꯟꯁꯤꯡꯅꯥ
নরাবনে	ꯅꯔꯥꯕꯅꯦ
অবাগী	ꯑꯕꯥꯒꯤ
ইমৈনি	ꯏꯃꯩꯅꯤ
তেঙ্কশিং	ꯇꯦꯡ꯭ꯀꯁꯤꯡ
পুরথোরক্লে	ꯄꯨꯔꯊꯣꯔꯛꯂꯦ
কারট	ꯀꯥꯔꯇ
শুংকাপ	ꯁꯨꯡꯀꯥꯞ
চয়োলদসু	ꯆꯌꯣꯜꯗꯁꯨ
ইচীল	ꯏꯆꯤꯜ
শান্নগদবা	ꯁꯥꯟꯅꯒꯗꯕꯥ
নাইন্তিনগ	ꯅꯥꯢꯟꯇꯤꯟꯒ
শামুপুনবী	ꯁꯥꯃꯨꯄꯨꯟꯕꯤ
দাসনা	ꯗꯥꯁꯅꯥ
ত্বেনশাংদগী	ꯇ꯭ꯋꯦꯟꯁꯥꯡꯗꯒꯤ
রামেশ্বরবু	ꯔꯥꯃꯦꯁ꯭ꯋꯔꯕꯨ
কম্প্যুটর	ꯀꯝꯄ꯭ꯌꯨꯇꯔ
কৌবা	ꯀꯧꯕꯥ
খুম্জবোইরে	ꯈꯨꯝꯖꯕꯣꯢꯔꯦ
তৌবীযু	ꯇꯧꯕꯤꯌꯨ
থোইনবগীদমক	ꯊꯣꯢꯅꯕꯒꯤꯗꯃꯛ
ঈচাউ	ꯏꯆꯥꯎ
ব্লোক	ꯕ꯭ꯂꯣꯛ
কোক্ননবা	ꯀꯣꯛꯅꯅꯕꯥ
সিংহাসন	ꯁꯤꯡꯍꯥꯁꯟ
খোত্তুনা	ꯈꯣꯠꯇꯨꯅꯥ
ইমুংদুগী	ꯏꯃꯨꯡꯗꯨꯒꯤ
পাংথোকমিন্নগনি	ꯄꯥꯡꯊꯣꯛꯃꯤꯟꯅꯒꯅꯤ
সনামচা	ꯁꯅꯥꯃꯆꯥ
বিজয়েন্তা	ꯕꯤꯖꯌꯦꯟꯇꯥ
অনইমপ্লোইমেন্ট	ꯑꯟꯏꯝꯄ꯭ꯂꯣꯢꯃꯦꯟ꯭ꯇ
ইতিহাসকারশিং	ꯏꯇꯤꯍꯥꯁꯀꯥꯔꯁꯤꯡ
মাক	ꯃꯥꯛ
মজা	ꯃꯖꯥ
কোকহনখি	ꯀꯣꯛꯍꯟꯈꯤ
ওষ্ট্রেলিয়াদা	ꯑꯣꯁꯇ꯭ꯔꯦꯂꯤꯌꯥꯗꯥ
খাইমাং	ꯈꯥꯢꯃꯥꯡ
ঙাক্কদবনি	ꯉꯥꯛꯀꯗꯕꯅꯤ
পোকপীদগী	ꯄꯣꯛꯄꯤꯗꯒꯤ
সুবাসনা	ꯁꯨꯕꯥꯁꯅꯥ
হোমগার্দ	ꯍꯣꯝꯒꯥꯔ꯭ꯗ
থাক্তসু	ꯊꯥꯛꯇꯁꯨ
হায়জবা	ꯍꯥꯢꯖꯕꯥ
য়াবীনিংবশিংনা	ꯌꯥꯕꯤꯅꯤꯡꯕꯁꯤꯡꯅꯥ
বেঙ্গুন	ꯕꯦꯡꯒꯨꯟ
ইন্দিকেটর	ꯏꯟꯗꯤꯀꯦꯇꯔ
ভত্তচার্য্যনা	ꯚꯠꯇꯆꯥꯔ꯭ꯌꯅꯥ
অরবিন্দ	ꯑꯔꯕꯤꯟ꯭ꯗ
ময়াম্দি	ꯃꯌꯥꯝꯗꯤ
সিবু	ꯁꯤꯕꯨ
পীগনি	ꯄꯤꯒꯅꯤ
পোত্	ꯄꯣꯠ
য়ুংবা	ꯌꯨꯡꯕꯥ
ফগৎনবখক্তা	ꯐꯒꯠꯅꯕꯈꯛꯇꯥ
ইয়ারপোর্ট	ꯏꯌꯥꯔꯄꯣꯔ꯭ꯇ
পাইহনবা	ꯄꯥꯢꯍꯟꯕꯥ
থাজদবা	ꯊꯥꯖꯗꯕꯥ
উৎথোকপগী	ꯎꯠꯊꯣꯛꯄꯒꯤ
নুপীশিংগী	ꯅꯨꯄꯤꯁꯤꯡꯒꯤ
মাঙ্হন্বদু	ꯃꯥꯡꯍꯟꯕꯗꯨ
